iter	RMSE
132	3.42110647
133	3.410625894
134	3.399702919
135	3.3909689
136	3.382377378
137	3.366243149
138	3.356033953
139	3.347544879
140	3.304911215
141	3.292787644
142	3.286990922
143	3.281143224
144	3.275558921
145	3.261160111
146	3.234762234
147	3.22750137
148	3.204307837
149	3.185004928
150	3.177447145
151	3.169056774
152	3.162606308
153	3.153007567
154	3.139893613
155	3.131275558
156	3.097026874
157	3.091506172
158	3.082399005
159	3.07590165
160	3.043117218
161	3.026650295
162	2.99802149
163	2.990789508
164	2.986014868
165	2.969133476
166	2.961740981
167	2.95666256
168	2.950567253
169	2.91867106
170	2.913590816
171	2.887299926
172	2.881279799
173	2.861219591
174	2.834274011
175	2.821761792
176	2.799025774
177	2.794754322
178	2.770381237
179	2.759815128
180	2.754357217
181	2.727156091
182	2.700645672
183	2.672626081
184	2.655599399
185	2.646524663
186	2.638026864
187	2.633037887
188	2.62702432
189	2.621601251
190	2.595058028
191	2.578246519
192	2.569492399
193	2.562986311
194	2.542810863
195	2.536714862
196	2.531673229
197	2.527665383
198	2.522233754
199	2.51933329
200	2.515593611
201	2.51168864
202	2.494594264
203	2.483151905
204	2.478292059
205	2.470360127
206	2.448964954
207	2.438461845
208	2.416619101
209	2.411431695
210	2.397264041
211	2.395421573
212	2.37416536
213	2.362714719
214	2.338978235
215	2.317858765
216	2.31101743
217	2.300580492
218	2.297093745
219	2.284525493
220	2.280963975
221	2.26528814
222	2.262139085
223	2.24484928
224	2.242537519
225	2.238240296
226	2.235214965
227	2.231633033
228	2.224881008
229	2.218513398
230	2.214833997
231	2.196247098
232	2.193051313
233	2.174349143
234	2.164643171
235	2.16120296
236	2.142842725
237	2.139919055
238	2.136810252
239	2.114225938
240	2.111393267
241	2.109099421
242	2.093247438
243	2.087701746
244	2.082798417
245	2.080344854
246	2.077548703
247	2.074849658
248	2.072172339
249	2.054166892
250	2.037607209
251	2.020477912
252	2.018047449
253	2.004034274
254	1.990883382
255	1.988056897
256	1.979793827
257	1.969950295
258	1.955105178
259	1.953080033
260	1.938422721
261	1.936201256
262	1.935199885
263	1.933068494
264	1.918261338
265	1.904223549
266	1.902613272
267	1.896188027
268	1.88423195
269	1.88284713
270	1.876625546
271	1.864309834
272	1.859026002
273	1.845421849
274	1.835069856
275	1.824869071
276	1.817681818
277	1.815692011
278	1.813951105
279	1.808625495
280	1.803833397
281	1.796653243
282	1.791102816
283	1.788969608
284	1.785080026
285	1.781472831
286	1.77620764
287	1.774280489
288	1.765883236
289	1.763916281
290	1.759479405
291	1.750195182
292	1.73938086
293	1.737477872
294	1.732646496
295	1.731196865
296	1.729500583
297	1.722879199
298	1.721425824
299	1.710667805
300	1.697557021
301	1.691967624
302	1.685964762
303	1.676885339
304	1.664714016
305	1.663078036
306	1.657202635
307	1.652113448
308	1.648778797
309	1.642687277
310	1.631956749
311	1.621892049
312	1.620042286
313	1.616392557
314	1.611712179
315	1.610173579
316	1.597714248
317	1.593201157
318	1.58505767
319	1.578221218
320	1.571852615
321	1.56758795
322	1.562045785
323	1.555854767
324	1.548594937
325	1.543146371
326	1.539370687
327	1.533528253
328	1.526227149
329	1.522475351
330	1.515050319
331	1.511690598
332	1.508480311
333	1.507254093
334	1.505218635
335	1.503143836
336	1.49927304
337	1.490511175
338	1.481163811
339	1.476640624
340	1.471520688
341	1.464900005
342	1.458148937
343	1.455339556
344	1.448866219
345	1.439381777
346	1.43773
347	1.435896937
348	1.429492639
349	1.426647315
350	1.423397296
351	1.422050012
352	1.420864814
353	1.418347099
354	1.414921937
355	1.408480402
356	1.4070881
357	1.405931117
358	1.398628988
359	1.392402615
360	1.389266984
361	1.388374024
362	1.383489242
363	1.37856341
364	1.376859914
365	1.369704009
366	1.362650626
367	1.35792806
368	1.354766808
369	1.351587851
370	1.346588894
371	1.343916618
372	1.338885449
373	1.336360158
374	1.332983115
375	1.326726848
376	1.32377485
377	1.320545646
378	1.319516669
379	1.311086772
380	1.305146908
381	1.300403886
382	1.29083393
383	1.288125679
384	1.283563108
385	1.281342746
386	1.279123977
387	1.278190029
388	1.269110819
389	1.264967902
390	1.261541228
391	1.259688121
392	1.258033205
393	1.251990693
394	1.248136085
395	1.244924139
396	1.238458252
397	1.229774207
398	1.228582066
399	1.225750216
400	1.218323837
401	1.212514511
402	1.209463695
403	1.207224678
404	1.199209181
405	1.198268418
406	1.196653037
407	1.195555968
408	1.193299939
409	1.186177976
410	1.182412045
411	1.176641173
412	1.172889574
413	1.171133465
414	1.16787051
415	1.163716213
416	1.160976394
417	1.158499623
418	1.153682048
419	1.152783601
420	1.150535804
421	1.14639215
422	1.143290265
423	1.138666565
424	1.135650044
425	1.131716866
426	1.128294786
427	1.124455018
428	1.120953169
429	1.117785485
430	1.113119083
431	1.112111195
432	1.104044602
433	1.09811076
434	1.096513688
435	1.094018056
436	1.089070524
437	1.08257405
438	1.079487728
