Top_R,Top_G,Top_B,Top_H,Top_S,Top_V,Thickness
13.2172,27.8148,36.4404,101.3048,163.2304,36.4404,111.3333333
14.9032,24.4308,35.2828,105.7968,147.4676,35.2828,109.7333333
7.502,22.1336,33.1368,104.356,214.6272,34.196,111.4
5.1092,3.0596,3.2868,108.7888,124.2964,5.1124,62.36666667
1.7596,1.0884,0.3504,8.966,159.9716,1.766,63.16666667
1.3828,0.8844,0.3672,6.1564,114.2732,1.3828,63.16666667
2.2352,1.2004,0.1756,13.6772,230.4328,2.2512,63.6
21.192,1.152,6.9108,114.098,253.1276,26.8896,75.2
1.0708,0.23,8.0684,123.1772,248.7284,8.0684,74.2
1.6972,1.5176,6.4396,119.1944,215.0824,6.4652,74.2
2.728,2.1232,6.4336,121.0816,173.1576,6.4336,74.8
250.2248,3.7884,15.7784,168.6716,251.3012,250.2248,86.46666667
1.538,7.1484,20.946,111.4352,236.6376,20.946,87.7
250.0476,3.26,17.7384,170.3012,251.9984,250.0476,86.8
6.5224,10.724,19.6396,109.974,170.5028,19.6396,87.36666667
1.1944,13.248,29.3312,107.2056,245.11,29.3312,98.33333333
1.0084,14.4212,28.664,105.256,246.7232,28.664,99.36666667
3.0284,16.1952,30.9548,105.782,230.794,30.9548,98.7
0.7592,12.9588,28.814,106.8256,248.7044,28.814,100.6
4.4256,1.8852,0.3832,14.1784,236.9704,4.4304,61.3
0.624,2.304,0.7528,55.7624,202.6616,2.3056,61.73333333
2.6204,1.8808,0.46,20.6944,207.5384,2.6748,61.06666667
1.7344,1.3624,0.524,13.3024,131.6444,1.7744,61.46666667
2.3728,1.0764,6.8232,122.0744,208.9116,6.8308,73.3
2.4144,1.5592,5.9628,122.2972,184.2732,5.9628,74.06666667
1.6824,1.5816,5.0584,114.3232,188.1528,5.076,72.8
1.68,0.3572,5.3216,125.8588,240.0356,5.3792,73.4
161.326,8.2168,17.0268,100.6888,247.5508,165.7404,84.5
2.5564,4.648,14.6744,114.9652,211.3044,14.6744,84.73333333
6.0408,7.0168,12.9896,115.4736,135.5952,12.9896,84.03333333
1.8884,5.0128,18.5152,114.378,229.4796,18.5152,84.63333333
6.9784,15.376,26.5632,106.8272,188.4016,26.5632,98.36666667
3.34,13.3692,33.372,109.8596,230.0004,33.372,97.03333333
5.8372,15.0308,31.7036,109.2272,208.5904,31.7036,96.26666667
0.6312,12.5188,29.4748,107.5424,249.834,29.4748,97.76666667
