Top_RGB_R,Top_RGB_G,Top_RGB_B,Bot_RGB_R,Bot_RGB_G,Bot_RGB_B,Top_YUV_Y,Top_YUV_U,Top_YUV_V,Bot_YUV_Y,Bot_YUV_U,Bot_YUV_V,Top_HSV_H,Top_HSV_S,Top_HSV_V,Bot_HSV_H,Bot_HSV_S,Bot_HSV_V,Top_LAB_L,Top_LAB_A,Top_LAB_B,Bot_LAB_L,Bot_LAB_A,Bot_LAB_B,Top_hls_H,Top_hls_L,Top_hls_S,Bot_hls_H,Bot_hls_L,Bot_hls_S,Thickness
0.6812,9.8948,32.0936,26.2156,33.0196,41.4724,9.6908,138.806,119.992,32.014,132.3888,122.8696,111.0868,249.8096,32.0936,106.66,93.8324,41.4724,7.742,131.0064,113.7232,31.7416,127.576,121.3536,111.082,16.5264,245.1008,106.6296,33.9316,58.1076,93.5
0.6308,3.4824,15.9376,27.0144,32.4624,38.5536,3.964,133.7856,124.6668,31.6432,131.0048,123.7184,114.3308,245.6516,15.9376,105.8944,76.126,38.5536,2.3576,129.3216,122.534,31.1456,127.368,123.0912,114.1144,8.3456,237.8884,105.8608,32.9008,45.278,81.5
0.6296,2.6988,16.2232,25.1984,31.5788,39.1692,3.582,134.2452,125.0476,30.4596,131.8932,123.2728,115.872,245.9132,16.2232,106.492,90.14,39.1712,2.0232,129.4024,122.1132,29.9052,127.6032,121.918,115.6944,8.4676,238.284,106.4904,32.268,55.8072,81.83333333
0.3872,2.014,13.7296,22.78,30.2072,39.4408,2.8168,133.062,125.5704,29.0376,132.864,122.5504,116.414,248.4,13.7296,106.6048,107.7544,39.4408,1.5196,129.48,123.1064,28.1412,127.6396,120.6228,116.3032,7.1528,243.094,106.5616,31.2936,68.9632,81.73333333
0.7584,2.8372,19.438,29.59,35.3448,40.2416,4.0908,135.6312,124.6676,34.1936,130.5504,123.7088,116.5832,245.7584,19.438,103.6572,67.8376,40.248,2.4832,129.748,120.58,34.5088,126.8788,123.9452,116.5784,10.13,237.9048,103.6572,34.978,39.3452,80.66666667
0.5436,1.92,8.064,22.918,33.0456,41.2664,2.0948,130.5804,126.4488,30.8532,132.8628,121.0568,114.3004,238.3952,8.0716,103.1664,112.9236,41.2664,1.2316,129.1152,125.5692,31.0356,126.2492,121.08,114.2844,4.2556,226.32,103.1664,32.2016,73.2404,74.76666667
0.9648,1.03,9.3264,24.5912,32.3688,43.3064,1.9616,131.2072,127.0032,31.2424,133.8064,122.1808,119.6136,230.4968,9.3264,107.5968,110.388,43.3064,0.8752,129.836,124.8368,30.99,128.0908,119.5856,119.6136,5.1416,212.19,107.5584,34.0072,70.9736,75.03333333
1.5596,1.0136,9.692,28.2184,36.696,44.702,2.1484,131.3376,127.4112,35.0424,132.3944,122.12,118.0312,226.0476,9.692,104.4416,94.0892,44.702,1.09,129.8192,124.682,35.9224,126.716,121.4952,118.0288,5.3352,208.68,104.44,36.5388,57.9376,75.53333333
4.5936,0.7468,13.0112,31.0188,34.606,43.8816,3.1724,132.4584,129.3796,34.5804,132.238,124.4992,129.1612,241.29,13.0128,111.4644,74.6796,43.8828,1.712,130.6192,123.5436,34.5532,128.978,121.1884,129.1524,7.1788,230.5052,111.0536,37.4824,43.906,75.63333333
9.702,2.3688,0.6204,33.054,36.5404,41.0428,4.3824,126.3268,132.742,36.102,130.1616,125.0048,7.5792,240.1688,9.702,107.104,49.698,41.0556,2.3112,129.9376,129.7584,36.5632,127.6352,124.5684,7.5592,5.2588,229.4892,107.0784,37.0772,27.7104,61.36666667
